Project: Cloud Adoption Plan    Server: dev.azure.com/wayneme    Query: all items    List type: Flat    ,,,,,,,
ID,Parent,Work Item Type,Priority,Value Area,Title,Tags,Description
4807,,Epic,2,Business,Cloud Adoption Strategy,Strategy,Cloud Adoption Strategy
4808,,Epic,2,Business,Cloud Adoption Plan,Plan,Cloud Adoption Plan
4809,,Epic,2,Business,Cloud Ready,Ready,Cloud Ready
4810,,Epic,2,Business,Cloud Innovation,Innovation,Cloud Innovation
4811,,Epic,2,Business,Cloud Migration,Migration,Cloud Migration
4812,4811,Feature,2,Business,First Workload,First Workload,"Migrate the first workload to learn and refine your migration process.
"
4813,4811,Feature,2,Business,First Host,First Host,"Migrate your first VMWare Host
"
4814,4811,Feature,1,Business,Workload Template,Workload Template,"Using Excel's Team add-on, copy all work items with the tag ""Workload Template"". Past those tags in the excel table & change the Tags & the name of the feature to match your workload's name."
4815,4809,Feature,2,Business,Landing zone creation,Ready,Landing zone creation
4816,4808,Feature,2,Business,Define the Cloud Adoption Plan,Plan,Define the Cloud Adoption Plan
4817,4807,Feature,2,Business,Define Adoption Strategy,Strategy,Define Adoption Strategy
4818,4895,Task,2,,Prioritize workloads,Plan,"Define and prioritize workloads in the backlog
"
4819,4895,Task,2,,Align assets to workloads,Plan,"Ensure that all assets are aligned to at least one workload
"
4820,4895,Task,2,,Define iterations and releases,Plan,"Update the iteration path of each workload to define iterations of work and iterations of production workload releases.
"
4821,4895,Task,2,,Create timelines,Plan,"Create timelines to align expectations across the business and IT teams.
"
4822,4882,Task,2,,Review test results,Workload Template,"Review results of the workload test to evaluate data and proper sizing https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/optimize
"
4823,4881,Task,2,,Set up Azure Monitor to track performance,Workload Template,"Implement Azure monitor to track CPU, Memory, and other performance metrics on VMs"
4824,4878,Task,2,,Assess,Workload Template,"Evaluate readiness, architecture, cost, and appropriate migration tooling
Guide: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/assess
Considerations: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/assess/
Decision Tree: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/decision-guides/migrate-decision-guide/
"
4825,4876,Task,2,,Decisions,Workload Template,"Evaluate decisions that impact migration efforts: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/prerequisites/decisions
"
4826,4884,Task,2,,Power down assets,Workload Template,"Turn off existing VMs https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/decommission
"
4827,4883,Task,2,,Network dependencies,Workload Template,"Validate network traffic based on scale test to identify unplanned dependencies https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/promote
"
4828,4812,Task,2,,Azure Migration Guide,First Workload,"Follow the Azure Migration Guide to deploy the first workload in the cloud adoption plan. https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/?tabs=Overview
"
4829,4877,Task,2,,Evaluate workload and asset readiness,Workload Template,"https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/assess/evaluate
"
4830,4880,Task,2,,Assess,Workload Template,"Evaluate readiness, architecture, cost, and appropriate migration tooling
Guide: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/assess
Considerations: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/assess/
Decision Tree: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/decision-guides/migrate-decision-guide/"
4831,4879,Task,2,,Assess,Workload Template,"Evaluate readiness, architecture, cost, and appropriate migration tooling
Guide: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/assess
Considerations: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/assess/
Decision Tree: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/decision-guides/migrate-decision-guide/"
4832,4886,Task,2,,Prerequisites,First Host,"https://docs.azure.cloudsimple.com/migrate-workloads/#prerequisites
"
4833,4887,Task,2,,Evaluate migration options used to migrate the first host,First Host,"Determine which approaches are to be supported during iterative migration processes
"
4834,4885,Task,2,,Escalate private cloud privileges,First Host,"https://docs.azure.cloudsimple.com/escalate-privileges/
"
4835,4885,Task,2,,Configure on-premises DNS for private cloud,First Host,"https://docs.azure.cloudsimple.com/on-premises-dns-setup/
"
4836,4886,Task,2,,Migrate ISOs and Templates,First Host,"https://docs.azure.cloudsimple.com/migrate-workloads/#migrate-isos-and-templates
"
4837,4879,Task,2,,Migrate,Workload Template,"Leverage the define migration solution to automate migration of the asset to the cloud. This step may be best executed as a single task for all assets associated with this workload.
Guide https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/migrate
Considerations: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/migrate/"
4838,4880,Task,2,,Migrate,Workload Template,"Leverage the define migration solution to automate migration of the asset to the cloud. This step may be best executed as a single task for all assets associated with this workload.
Guide https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/migrate
Considerations: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/migrate/"
4839,4877,Task,2,,Architect workload,Workload Template,"Define future state architecture for the workload: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/assess/architect
"
4840,4812,Task,2,,Select the first workload,First Workload,"Select a first workload that is suitable as a trial run or pilot of your migration process. https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/digital-estate/rationalize#selecting-the-first-workload
"
4841,4883,Task,2,,Security Review,Workload Template,"Validate adherence to security baseline https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/promote
"
4842,4884,Task,2,,Workload monitoring period,Workload Template,"Monitor application performance for a period of time to validate that the application is free of unplanned dependencies on decommissioned assets https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/decommission
"
4843,4876,Task,2,,Roles and Responsibilities,Workload Template,"The various functions required during this migration are represented by one or more members of the team. https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/prerequisites/culture-complexity
"
4844,4878,Task,2,,Migrate,Workload Template,"Leverage the define migration solution to automate migration of the asset to the cloud. This step may be best executed as a single task for all assets associated with this workload.
Guide https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/migrate
Considerations: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/migrate/
"
4845,4881,Task,2,,Manual test with power users,Workload Template,"Observe power users from the business performing manual validation of the workload https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/business-test
"
4846,4882,Task,2,,Decide on optimization timing,Workload Template,"Decide if testing is sufficient to optimize (Or if optimization should happen after promotion) https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/optimize
"
4847,4882,Task,2,,Adjust sizing,Workload Template,"Change the size of the deployed asset https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/optimize
"
4848,4881,Task,2,,Create/select automated test,Workload Template,Use an existing test or create a test script based on power user testing.
4849,4878,Task,2,,Optimize workload(s),Workload Template,"Test, measure performance, and optimize workloads. When ready promote the workload to production
Guide: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/optimize-and-transform
Considerations: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/
"
4850,4883,Task,2,,Governance Review,Workload Template,"Validate adherence to governance or compliance requirements https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/promote
"
4851,4812,Task,2,,Review Expanded Scope Checklist,First Workload,"Review the expanded scope checklist to identify any scope requirements which would cause significant deviations from the Azure Migration Guide: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/expanded-scope/
"
4852,4877,Task,2,,Estimate Cloud Costs,Workload Template,"Estimate cost of the proposed workload. Update the business justification and budget accordingly. https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/assess/estimate
"
4853,4880,Task,2,,Optimize workload(s),Workload Template,"Test, measure performance, and optimize workloads. When ready promote the workload to production
Guide: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/optimize-and-transform
Considerations: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/"
4854,4879,Task,2,,Optimize workload(s),Workload Template,"Test, measure performance, and optimize workloads. When ready promote the workload to production
Guide: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/optimize-and-transform
Considerations: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/"
4855,4886,Task,2,,Migrate VMs using PowerCLI,First Host,"https://docs.azure.cloudsimple.com/migrate-workloads/#migrate-vms-using-powercli
"
4856,4886,Task,2,,Migrate VMs using NSX Layer 2 VPN,First Host,"https://docs.azure.cloudsimple.com/migrate-workloads/#migrate-vms-using-nsx-layer-2-vpn
"
4857,4879,Task,2,,Secure and Manage,Workload Template,"Ideally governance, security, and operations have each been factored into the operating model for your cloud environments. If they have not, take a moment to validate security and management constraints for this asset.
Guide: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/secure-and-manage
Considerations: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/secure-and-manage/"
4858,4880,Task,2,,Secure and Manage,Workload Template,"Ideally governance, security, and operations have each been factored into the operating model for your cloud environments. If they have not, take a moment to validate security and management constraints for this asset.
Guide: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/secure-and-manage
Considerations: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/secure-and-manage/"
4859,4877,Task,2,,Migration tool choice(s),Workload Template,"Evaluate the approach to migrate the workload based on future state architecture decisions https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/decision-guides/migrate-decision-guide/
"
4860,4812,Task,2,,Review Best Practices,First Workload,"Review migration best practices to identify additional technical requirements that would aid in the success of your migration effort: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-best-practices/
"
4861,4883,Task,2,,Final test,Workload Template,Validate availability of all assets before production
4862,4878,Task,2,,Secure and Manage,Workload Template,"Ideally governance, security, and operations have each been factored into the operating model for your cloud environments. If they have not, take a moment to validate security and management constraints for this asset.
Guide: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/azure-migration-guide/secure-and-manage
Considerations: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/secure-and-manage/

"
4863,4876,Task,2,,Environment readiness (Landing Zone),Workload Template,"Has the cloud migration target been established? Are the necessary migration tools in place? Has a resource organization and naming standard been set for this workload's assets? https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/prerequisites/planning-checklist
"
4864,4884,Task,2,,Decommission,Workload Template,"Terminate or resuse the allocated resources https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/decommission
"
4865,4878,Task,2,,Document configuration,Workload Template,Document Configuration of the VM in the User Story
4866,4881,Task,2,,Scale Test,Workload Template,Execute the test at scale to test asset performance under load.
4867,4882,Task,2,,Document change,Workload Template,"Record the change in sizing in the parent feature, along with the reason for change"
4868,4883,Task,2,,Promotion,Workload Template,"Re-route production traffic to deployed assets https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/optimize/promote
"
4869,4812,Task,2,,Update the adoption plan,First Workload,"Update the migration plan with any process or task changes based on the first workload
"
4870,4877,Task,2,,Change approval process,Workload Template,"Approve proposed changes with necessary change control mechanisms: https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/assess/approve
"
4871,4880,Task,2,,Document configuration,Workload Template,Document Configuration of the VM in the User Story
4872,4879,Task,2,,Document configuration,Workload Template,Document Configuration of the VM in the User Story
4873,4885,Task,2,,Configure workload DNS and DHCP setup,First Host,"https://docs.azure.cloudsimple.com/dns-dhcp-setup/
"
4874,4887,Task,2,,Update the migration tooling decision tree to reflect VMWare migration options,First Host,"Download and modify the migration tool decision tree to align to your expanded migration processes https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/decision-guides/migrate-decision-guide/
"
4875,4886,Task,2,,Migrate VMs using backup and disaster recovery tools,First Host,"https://docs.azure.cloudsimple.com/migrate-workloads/#migrate-vms-using-backup-and-disaster-recovery-tools
"
4876,4814,User Story,2,Business,Prerequisites,Workload Template,Validate completion of prerequisites & document answers
4877,4814,User Story,2,Business,Assess the workload,Workload Template,"https://docs.microsoft.com/en-us/azure/architecture/cloud-adoption/migrate/migration-considerations/assess/?branch=pr-en-us-47
"
