"Project: Strat-Plan-Ready-Gov    Server: dev.azure.com/wayneme    Query: All items, all states    List type: Flat    ",,,,,,,
ID,Parent,Work Item Type,Priority,Value Area,Title,Tags,Description
4900,,Epic,2,Business,Cloud Adoption Strategy,Strategy,Cloud Adoption Strategy
4901,,Epic,2,Business,Cloud Adoption Plan,Plan,Cloud Adoption Plan
4902,,Epic,2,Business,Cloud Ready,Ready,"Cloud Ready - review the Cloud Ready checklist.

In this section we provide links to content and topics which will influence some of the decisions
"
4903,,Epic,2,Business,Cloud Govern,Govern,"The cloud creates new paradigms for the technologies that support the business. Datacenters can be torn down and rebuilt with one line of code, we have to rethink traditional approaches."
4904,4902,Feature,2,Business,Getting Started with Azure,Ready,"Review the Azure Readiness Guide to become familiar with the tools and approaches needed in landing zone creation.
"
4905,4902,Feature,2,Business,"Create the Landing zone, 3 potential paths: Enterprise Scale | Start Small and Grow | Partner built",Ready,https://docs.microsoft.com/azure/cloud-adoption-framework/ready/landing-zone/
4906,4901,Feature,2,Business,Build the Cloud Adoption Plan,Plan,"Define the Cloud Adoption Plan: https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/plan/plan-intro
"
4907,4900,Feature,2,Business,Define Adoption Strategy,Strategy,Define Adoption Strategy
4908,4903,Feature,2,Business,Establish Governance Baseline & Governance Disciplines,Govern,"It is important to understand the gaps of governance that we have today, the Cloud Adoption Framework Governance Benchmark evaluation helps us determine where those gaps exist."
4909,4903,Feature,2,Business,Tools to govern your Azure environment,Govern,Azure Fundamentals & Governance
4910,5108,Task,2,,1 - Identity Management Best Practices,Ready,https://docs.microsoft.com/azure/security/fundamentals/identity-management-best-practices
4911,5107,Task,2,,1 - Choose a networking architecture,Ready,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/considerations/networking-options#choose-a-networking-architecture
4912,5107,Task,2,,2 - Azure networking services overview,Ready,https://docs.microsoft.com/en-us/azure/networking/networking-overview
4913,5107,Task,2,,3 - Common-Design-Principles-for-a-Hub-and-Spoke-VNET-Architecture,Ready,Hub-spoke network topology in Azurehttps://docs.microsoft.com/azure/architecture/reference-architectures/hybrid-networking/hub-spoke
4914,5136,Task,2,,1 - Logs in Azure Monitor,Govern,https://docs.microsoft.com/en-us/azure/azure-monitor/platform/data-platform-logs
4915,5137,Task,2,,1 - Azure Express Route | Tutorial: Connect a virtual network to an Express Route circuit,Govern,"Tutorial: Connect a virtual network to an Express Route circuit
"
4916,5134,Task,2,,1 - Manage Azure Monitor: Design a workspace deployment,Govern,https://docs.microsoft.com/en-us/azure/azure-monitor/platform/design-logs-deployment
4917,5126,Task,2,,1 - What is AAD,Govern,- https://docs.microsoft.com/azure/active-directory/fundamentals/active-directory-whatis?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal - What is AAD
4918,5140,Task,2,,1 - Alerts: Improve incident response with alerting on Azure (MS Learn),Govern,https://docs.microsoft.com/en-us/learn/modules/incident-response-with-alerting-on-azure/
4919,5107,Task,2,,4 - Hub and spoke network topology,Ready,https://docs.microsoft.com/en-us/azure/cloud-adoption-framework/ready/azure-best-practices/hub-spoke-network-topology
4920,5129,Task,2,,1 - Blueprint definitions,Govern,https://docs.microsoft.com/azure/governance/blueprints/overview#blueprint-definition?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal - Blueprint definitions
4921,5125,Task,2,,1 - Build a readiness plan and map roles,Ready,a) https://docs.microsoft.com/azure/cloud-adoption-framework/plan/adapt-roles-skills-processes | b) https://docs.microsoft.com/azure/cloud-adoption-framework/plan/suggested-skills
4922,5108,Task,2,,2 - Identity Access Management | Least Privilege Access,Ready,https://docs.microsoft.com/azure/active-directory/users-groups-roles/directory-admin-roles-secure?bc=%2fazure%2fcloud-adoption-framework%2f_bread%2ftoc.json
4923,5139,Task,2,,1 - Visualizations: Create interactive reports with Azure Monitor workbooks,Govern,https://docs.microsoft.com/en-us/azure/azure-monitor/app/usage-workbooks
4924,5126,Task,2,,2 - Compare AD with AAD,Govern,https://docs.microsoft.com/azure/active-directory/fundamentals/active-directory-compare-azure-ad-to-ad?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal - Compare AD with AAD
4925,5106,Task,2,,1 - EA Portal - Getting Started,Ready,"https://docs.microsoft.com/en-us/azure/cost-management-billing/manage/ea-portal-get-started
"
4926,5113,Task,2,,1 - Sustainability targets and goals,Strategy,https://azure.microsoft.com/blog/microsoft-sustainability-calculator-helps-enterprises-analyze-the-carbon-emissions-of-their-it-infrastructure
4927,5110,Task,2,,1 - App discovery & dependency mapping with Azure Migrate,Plan,Gather inventory data. https://docs.microsoft.com/azure/cloud-adoption-framework/digital-estate/inventory
4928,5107,Task,2,,5 - Best Practices for Network Security,Ready,https://docs.microsoft.com/azure/security/fundamentals/network-best-practices?bc=%2fazure%2fcloud-adoption-framework%2f_bread%2ftoc.json&toc=%2fazure%2fcloud-adoption-framework%2ftoc.json
4929,5136,Task,2,,2 - Logs querying: Get started with log queries in Azure Monitor,Govern,https://docs.microsoft.com/en-us/azure/azure-monitor/log-query/get-started-queries
4930,5137,Task,2,,2 - Azure Express Route | Tutorial: Create and modify peering for an Express Route circuit,Govern,Tutorial: Create and modify peering for an Express Route circuit
4931,5126,Task,2,,3 - AAD Deployment Guide,Govern,https://docs.microsoft.com/azure/active-directory/fundamentals/active-directory-deployment-checklist-p2?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal - AAD Deployment Guide
4932,5138,Task,2,,1 - Network Insights (Preview),Govern,https://docs.microsoft.com/en-us/azure/azure-monitor/insights/network-insights-overview
4933,5140,Task,2,,"2 - Alerts: Create, view and manage alerts based on Log Queries",Govern,https://docs.microsoft.com/en-gb/azure/azure-monitor/platform/alerts-log
4934,5134,Task,2,,2 - Cloud monitoring guide: Monitoring strategy for cloud deployment models,Govern,https://docs.microsoft.com/azure/cloud-adoption-framework/manage/monitor/cloud-models-monitor-overview - Cloud monitoring guide: Monitoring strategy for cloud deployment models
4935,5126,Task,2,,4 - Tutorial Create a new tenant in AAD,Govern,https://docs.microsoft.com/azure/active-directory/fundamentals/active-directory-access-create-new-tenant?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal
4936,5104,Task,2,,1 - Subscription Design,Ready,"Plan your cloud deployment's subscription design and account structureto match your organization's ownership, billing, and management capabilities.
"
4937,5130,Task,2,,1 - View service health notifications by using the Azure portal,Govern,https://docs.microsoft.com/azure/service-health/service-notifications?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal
4938,5131,Task,2,,1 - Get started with Azure Advisor,Govern,https://docs.microsoft.com/azure/advisor/advisor-get-started?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal - Get started with Azure Advisor
4939,5131,Task,2,,2 - Tutorial: Create Azure Advisor alerts on new recommendations,Govern,https://docs.microsoft.com/azure/advisor/advisor-alerts-portal?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal - Tutorial: Create Azure Advisoralerts on new recommendations
4940,5130,Task,2,,2 - Tutorial: Create activity log alerts on service notifications,Govern,https://docs.microsoft.com/azure/service-health/alerts-activity-log-service-notifications-portal?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal
4941,5107,Task,2,,6 - Network segmentation,Ready,"Secure and govern workloads with network level segmentation
"
4942,5136,Task,2,,3 - Logs querying: Azure Monitor log queries,Govern,https://docs.microsoft.com/en-us/azure/azure-monitor/log-query/query-language
4943,5106,Task,2,,2 - Initial subscriptions,Ready,https://docs.microsoft.com/azure/cloud-adoption-framework/ready/azure-best-practices/initial-subscriptions?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal -
4944,5139,Task,2,,2 - Visualizations: Create and share Azure Dashboards,Govern,https://docs.microsoft.com/azure/azure-portal/azure-portal-dashboards
4945,5108,Task,2,,3 - Manage access to your Azure environment with role-based access controls,Ready,https://docs.microsoft.com/azure/cloud-adoption-framework/ready/azure-setup-guide/manage-access?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal
4946,5129,Task,2,,2 - Define standard resources with Azure Blueprints,Govern,https://docs.microsoft.com/learn/modules/intro-to-governance/5-azure-blueprints?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal
4947,5125,Task,2,,2 - Microsoft Learn Platform,Ready,"https://docs.microsoft.com/learn/paths/azure-fundamentals/?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal - Azure Fundamentals on Microsoft Learn
"
4948,5129,Task,2,,3 - Azure Blueprint Samples,Govern,"https://docs.microsoft.com/azure/governance/blueprints/samples/?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal
"
4949,5129,Task,2,,4 - Azure Blueprints as code,Govern,"https://github.com/Azure/azure-blueprints
"
4950,5129,Task,2,,5 - Tutorial: Define and assign a blueprint in the portal,Govern,https://docs.microsoft.com/azure/governance/blueprints/create-blueprint-portal?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal
4951,5126,Task,2,,5 - Tutorial: View your organization’s groups and members in AAD,Govern,https://docs.microsoft.com/azure/active-directory/fundamentals/active-directory-groups-view-azure-portal?WT.mc_id=devops_userstory_service_sprg-inproduct-devopsportal
